3,1,22,1,0, 7.25 ,,S,0
1,0,38,1,0, 71.28 ,C85,C,1
3,0,26,0,0, 7.93 ,,S,1
1,0,35,1,0, 53.10 ,C123,S,1
3,1,35,0,0, 8.05 ,,S,0
3,1,,0,0, 8.46 ,,Q,0
1,1,54,0,0, 51.86 ,E46,S,0
3,1,2,3,1, 21.08 ,,S,0
3,0,27,0,2, 11.13 ,,S,1
2,0,14,1,0, 30.07 ,,C,1
3,0,4,1,1, 16.70 ,G6,S,1
1,0,58,0,0, 26.55 ,C103,S,1
3,1,20,0,0, 8.05 ,,S,0
3,1,39,1,5, 31.28 ,,S,0
3,0,14,0,0, 7.85 ,,S,0
2,0,55,0,0, 16.00 ,,S,1
3,1,2,4,1, 29.13 ,,Q,0
2,1,,0,0, 13.00 ,,S,1
3,0,31,1,0, 18.00 ,,S,0
3,0,,0,0, 7.23 ,,C,1
2,1,35,0,0, 26.00 ,,S,0
2,1,34,0,0, 13.00 ,D56,S,1
3,0,15,0,0, 8.03 ,,Q,1
1,1,28,0,0, 35.50 ,A6,S,1
3,0,8,3,1, 21.08 ,,S,0
3,0,38,1,5, 31.39 ,,S,1
3,1,,0,0, 7.23 ,,C,0
1,1,19,3,2, 263.00 ,C23 C25 C27,S,0
3,0,,0,0, 7.88 ,,Q,1
3,1,,0,0, 7.90 ,,S,0
1,1,40,0,0, 27.72 ,,C,0
1,0,,1,0, 146.52 ,B78,C,1
3,0,,0,0, 7.75 ,,Q,1
2,1,66,0,0, 10.50 ,,S,0
1,1,28,1,0, 82.17 ,,C,0
1,1,42,1,0, 52.00 ,,S,0
3,1,,0,0, 7.23 ,,C,1
3,1,21,0,0, 8.05 ,,S,0
3,0,18,2,0, 18.00 ,,S,0
3,0,14,1,0, 11.24 ,,C,1
3,0,40,1,0, 9.48 ,,S,0
2,0,27,1,0, 21.00 ,,S,0
3,1,,0,0, 7.90 ,,C,0
2,0,3,1,2, 41.58 ,,C,1
3,0,19,0,0, 7.88 ,,Q,1
3,1,,0,0, 8.05 ,,S,0
3,1,,1,0, 15.50 ,,Q,0
3,0,,0,0, 7.75 ,,Q,1
3,1,,2,0, 21.68 ,,C,0
3,0,18,1,0, 17.80 ,,S,0
3,1,7,4,1, 39.69 ,,S,0
3,1,21,0,0, 7.80 ,,S,0
1,0,49,1,0, 76.73 ,D33,C,1
2,0,29,1,0, 26.00 ,,S,1
1,1,65,0,1, 61.98 ,B30,C,0
1,1,,0,0, 35.50 ,C52,S,1
2,0,21,0,0, 10.50 ,,S,1
3,1,28.5,0,0, 7.23 ,,C,0
2,0,5,1,2, 27.75 ,,S,1
3,1,11,5,2, 46.90 ,,S,0
3,1,22,0,0, 7.23 ,,C,0
1,0,38,0,0, 80.00 ,B28,,1
1,1,45,1,0, 83.48 ,C83,S,0
3,1,4,3,2, 27.90 ,,S,0
1,1,,0,0, 27.72 ,,C,0
3,1,,1,1, 15.25 ,,C,1
